Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
1.0,0.0,0.0,0.0,Afghanistan,2020-02-24T23:33:02,02-25-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Afghanistan,2020-02-24T23:33:02,02-26-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Afghanistan,2020-02-24T23:33:02,02-27-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Afghanistan,2020-02-24T23:33:02,02-28-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Afghanistan,2020-02-24T23:33:02,02-29-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Afghanistan,2020-02-24T23:33:02,03-01-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Afghanistan,2020-02-24T23:33:02,03-02-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Afghanistan,2020-02-24T23:33:02,03-03-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Afghanistan,2020-02-24T23:33:02,03-04-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Afghanistan,2020-02-24T23:33:02,03-05-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Afghanistan,2020-02-24T23:33:02,03-06-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Afghanistan,2020-02-24T23:33:02,03-07-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,Afghanistan,2020-03-08T04:53:03,03-08-2020,0.0,0.0,3.0,0.0
4.0,0.0,0.0,0.0,Afghanistan,2020-03-08T04:53:03,03-09-2020,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,Afghanistan,2020-03-10T12:33:02,03-10-2020,0.0,0.0,1.0,0.0
7.0,0.0,0.0,0.0,Afghanistan,2020-03-11T10:13:12,03-11-2020,0.0,0.0,2.0,0.0
7.0,0.0,0.0,0.0,Afghanistan,2020-03-11T10:13:12,03-12-2020,0.0,0.0,0.0,0.0
