Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
1.0,0.0,0.0,0.0,Canada,1/27/20 23:59,01-27-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Canada,1/28/20 23:00,01-28-2020,0.0,0.0,1.0,0.0
2.0,0.0,0.0,0.0,Canada,1/29/20 19:30,01-29-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,Canada,1/30/20 16:00,01-30-2020,0.0,0.0,1.0,0.0
3.0,0.0,0.0,0.0,Canada,1/31/2020 23:59,01-31-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,Canada,2/1/2020 18:12,02-01-2020,0.0,0.0,1.0,0.0
4.0,0.0,0.0,0.0,Canada,2020-02-01T18:12:49,02-02-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,Canada,2020-02-01T18:12:49,02-03-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,Canada,2020-02-04T00:03:11,02-04-2020,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,Canada,2020-02-04T00:03:11,02-05-2020,0.0,0.0,1.0,0.0
5.0,0.0,0.0,0.0,Canada,2020-02-04T00:03:11,02-06-2020,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,Canada,2020-02-04T00:03:11,02-07-2020,0.0,0.0,2.0,0.0
7.0,0.0,0.0,0.0,Canada,2020-02-04T00:03:11,02-08-2020,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,Canada,2020-02-04T00:03:11,02-09-2020,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,Canada,2020-02-04T00:03:11,02-10-2020,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,Canada,2020-02-04T00:03:11,02-11-2020,0.0,0.0,0.0,0.0
7.0,0.0,1.0,0.0,Canada,2020-02-12T18:53:03,02-12-2020,0.0,0.0,0.0,1.0
7.0,0.0,1.0,0.0,Canada,2020-02-12T18:53:03,02-13-2020,0.0,0.0,0.0,0.0
7.0,0.0,1.0,0.0,Canada,2020-02-12T18:53:03,02-14-2020,0.0,0.0,0.0,0.0
7.0,0.0,1.0,0.0,Canada,2020-02-12T18:53:03,02-15-2020,0.0,0.0,0.0,0.0
7.0,0.0,1.0,0.0,Canada,2020-02-12T18:53:03,02-16-2020,0.0,0.0,0.0,0.0
8.0,0.0,1.0,0.0,Canada,2020-02-12T18:53:03,02-17-2020,0.0,0.0,1.0,0.0
8.0,0.0,1.0,0.0,Canada,2020-02-12T18:53:03,02-18-2020,0.0,0.0,0.0,0.0
8.0,0.0,1.0,0.0,Canada,2020-02-12T18:53:03,02-19-2020,0.0,0.0,0.0,0.0
8.0,0.0,1.0,0.0,Canada,2020-02-12T18:53:03,02-20-2020,0.0,0.0,0.0,0.0
9.0,0.0,3.0,0.0,Canada,2020-02-12T18:53:03,02-21-2020,0.0,0.0,1.0,2.0
9.0,0.0,3.0,0.0,Canada,2020-02-12T18:53:03,02-22-2020,0.0,0.0,0.0,0.0
9.0,0.0,3.0,0.0,Canada,2020-02-12T18:53:03,02-23-2020,0.0,0.0,0.0,0.0
10.0,0.0,3.0,0.0,Canada,2020-02-12T18:53:03,02-24-2020,0.0,0.0,1.0,0.0
11.0,0.0,3.0,0.0,Canada,2020-02-12T18:53:03,02-25-2020,0.0,0.0,1.0,0.0
11.0,0.0,3.0,0.0,Canada,2020-02-12T18:53:03,02-26-2020,0.0,0.0,0.0,0.0
13.0,0.0,6.0,0.0,Canada,2020-02-12T18:53:03,02-27-2020,0.0,0.0,2.0,3.0
14.0,0.0,6.0,0.0,Canada,2020-02-12T18:53:03,02-28-2020,0.0,0.0,1.0,0.0
20.0,0.0,6.0,0.0,Canada,2020-02-12T18:53:03,02-29-2020,0.0,0.0,6.0,0.0
24.0,0.0,6.0,0.0,Canada,2020-02-12T18:53:03,03-01-2020,0.0,0.0,4.0,0.0
27.0,0.0,6.0,0.0,Canada,2020-02-12T18:53:03,03-02-2020,0.0,0.0,3.0,0.0
30.0,0.0,6.0,0.0,Canada,2020-02-12T18:53:03,03-03-2020,0.0,0.0,3.0,0.0
33.0,0.0,6.0,0.0,Canada,2020-02-12T18:53:03,03-04-2020,0.0,0.0,3.0,0.0
37.0,0.0,6.0,0.0,Canada,2020-02-12T18:53:03,03-05-2020,0.0,0.0,4.0,0.0
49.0,0.0,6.0,0.0,Canada,2020-02-12T18:53:03,03-06-2020,0.0,0.0,12.0,0.0
54.0,0.0,8.0,0.0,Canada,2020-02-12T18:53:03,03-07-2020,0.0,0.0,5.0,2.0
64.0,0.0,8.0,0.0,Canada,2020-02-12T18:53:03,03-08-2020,0.0,0.0,10.0,0.0
76.0,1.0,8.0,0.0,Canada,2020-03-09T08:43:03,03-09-2020,1.0,0.0,12.0,0.0
79.0,1.0,8.0,0.0,Canada,2020-03-10T00:53:03,03-10-2020,0.0,0.0,3.0,0.0
108.0,1.0,8.0,0.0,Canada,2020-03-11T23:13:06,03-11-2020,0.0,0.0,29.0,0.0
117.0,1.0,8.0,0.0,Canada,2020-03-11T23:13:06,03-12-2020,0.0,0.0,9.0,0.0
193.0,1.0,8.0,0.0,Canada,2020-03-11T20:00:00,03-13-2020,0.0,0.0,76.0,0.0
196.0,1.0,8.0,0.0,Canada,2020-03-11T23:13:06,03-14-2020,0.0,0.0,3.0,0.0
250.0,1.0,8.0,0.0,Canada,2020-03-15T02:13:21,03-15-2020,0.0,0.0,54.0,0.0
415.0,4.0,9.0,0.0,Canada,2020-03-15T02:13:21,03-16-2020,3.0,0.0,165.0,1.0
478.0,5.0,9.0,0.0,Canada,2020-03-15T02:13:21,03-17-2020,1.0,0.0,63.0,0.0
657.0,8.0,9.0,0.0,Canada,2020-03-15T02:13:21,03-18-2020,3.0,0.0,179.0,0.0
800.0,9.0,9.0,0.0,Canada,2020-03-19T18:43:03,03-19-2020,1.0,0.0,143.0,0.0
943.0,12.0,9.0,0.0,Canada,2020-03-19T18:43:03,03-20-2020,3.0,0.0,143.0,0.0
1278.0,19.0,10.0,0.0,Canada,2020-03-21T21:13:30,03-21-2020,7.0,0.0,335.0,1.0
1470.0,21.0,0.0,0.0,Canada,3/22/20 23:48,03-22-2020,2.0,0.0,192.0,-10.0
2088.0,25.0,0.0,0.0,Canada,2020-03-23 23:23:10,03-23-2020,4.0,0.0,618.0,0.0
2790.0,26.0,110.0,0.0,Canada,2020-03-24 23:41:36,03-24-2020,1.0,0.0,702.0,110.0
3251.0,30.0,183.0,0.0,Canada,2020-03-25 23:37:36,03-25-2020,4.0,0.0,461.0,73.0
4042.0,38.0,184.0,0.0,Canada,2020-03-26 23:53:11,03-26-2020,8.0,0.0,791.0,1.0
4682.0,54.0,256.0,0.0,Canada,2020-03-27 23:27:32,03-27-2020,16.0,0.0,640.0,72.0
5576.0,61.0,466.0,0.0,Canada,3/28/20 23:10,03-28-2020,7.0,0.0,894.0,210.0
6280.0,64.0,466.0,0.0,Canada,3/29/20 23:13,03-29-2020,3.0,0.0,704.0,0.0
7398.0,80.0,466.0,0.0,Canada,3/30/20 22:58,03-30-2020,16.0,0.0,1118.0,0.0
8527.0,101.0,1592.0,0.0,Canada,2020-03-31 23:49:13,03-31-2020,21.0,0.0,1129.0,1126.0
9560.0,109.0,1324.0,0.0,Canada,2020-04-01 22:04:44,04-01-2020,8.0,0.0,1033.0,-268.0
11284.0,139.0,1735.0,0.0,Canada,4/2/20 23:31,04-02-2020,30.0,0.0,1724.0,411.0
12437.0,179.0,2175.0,0.0,Canada,2020-04-03 22:52:30,04-03-2020,40.0,0.0,1153.0,440.0
12978.0,218.0,2577.0,0.0,Canada,4/4/20 23:40,04-04-2020,39.0,0.0,541.0,402.0
15756.0,259.0,3012.0,0.0,Canada,2020-04-05 23:13:28,04-05-2020,41.0,0.0,2778.0,435.0
16563.0,339.0,3256.0,0.0,Canada,4/6/20 23:28,04-06-2020,80.0,0.0,807.0,244.0
17872.0,375.0,3791.0,0.0,Canada,2020-04-07 23:11:15,04-07-2020,36.0,0.0,1309.0,535.0
19141.0,407.0,4154.0,0.0,Canada,2020-04-08 22:58:44,04-08-2020,32.0,0.0,1269.0,363.0
20654.0,503.0,5162.0,0.0,Canada,2020-04-09 23:09:01,04-09-2020,96.0,0.0,1513.0,1008.0
22059.0,557.0,5855.0,0.0,Canada,2020-04-10 23:01:26,04-10-2020,54.0,0.0,1405.0,693.0
23316.0,654.0,6589.0,0.0,Canada,2020-04-11 22:52:28,04-11-2020,97.0,0.0,1257.0,734.0
24299.0,713.0,7123.0,16463.0,Canada,2020-04-12 23:24:00,04-12-2020,59.0,16463.0,983.0,534.0
25680.0,780.0,7758.0,17142.0,Canada,2020-04-13 23:15:25,04-13-2020,67.0,679.0,1381.0,635.0
27035.0,900.0,8210.0,17925.0,Canada,2020-04-14 23:40:54,04-14-2020,120.0,783.0,1355.0,452.0
28209.0,1007.0,8966.0,18236.0,Canada,2020-04-15 23:04:09,04-15-2020,107.0,311.0,1174.0,756.0
30809.0,1258.0,9698.0,19853.0,Canada,2020-04-16 23:38:03,04-16-2020,251.0,1617.0,2600.0,732.0
32814.0,1355.0,10545.0,20914.0,Canada,2020-04-17 23:38:31,04-17-2020,97.0,1061.0,2005.0,847.0
34356.0,1400.0,10964.0,21992.0,Canada,2020-04-18 22:40:03,04-18-2020,45.0,1078.0,1542.0,419.0
35633.0,1564.0,11847.0,22222.0,Canada,2020-04-19 23:48:49,04-19-2020,164.0,230.0,1277.0,883.0
37658.0,1726.0,12543.0,23389.0,Canada,2020-04-20 23:44:34,04-20-2020,162.0,1167.0,2025.0,696.0
39402.0,1909.0,13188.0,24305.0,Canada,2020-04-21 23:38:53,04-21-2020,183.0,916.0,1744.0,645.0
41650.0,2077.0,14454.0,25119.0,Canada,2020-04-22 23:38:42,04-22-2020,168.0,814.0,2248.0,1266.0
43286.0,2241.0,14761.0,26285.0,Canada,2020-04-24 03:31:19,04-23-2020,164.0,1166.0,1636.0,307.0
44056.0,2386.0,15149.0,26522.0,Canada,2020-04-25 06:30:55,04-24-2020,145.0,237.0,770.0,388.0
45493.0,2549.0,16013.0,26932.0,Canada,2020-04-26 02:30:54,04-25-2020,163.0,410.0,1437.0,864.0
47147.0,2663.0,16883.0,27602.0,Canada,2020-04-27 02:30:55,04-26-2020,114.0,670.0,1654.0,870.0
49616.0,2841.0,18268.0,28507.0,Canada,2020-04-28 02:30:53,04-27-2020,178.0,905.0,2469.0,1385.0
51150.0,2983.0,19231.0,28936.0,Canada,2020-04-29 02:32:29,04-28-2020,142.0,429.0,1534.0,963.0
52865.0,3155.0,20327.0,29383.0,Canada,2020-04-30 02:32:27,04-29-2020,172.0,447.0,1715.0,1096.0
54457.0,3310.0,21424.0,29723.0,Canada,2020-05-01 02:32:28,04-30-2020,155.0,340.0,1592.0,1097.0
56343.0,3537.0,22764.0,30042.0,Canada,2020-05-02 02:32:27,05-01-2020,227.0,319.0,1886.0,1340.0
57926.0,3684.0,23814.0,30428.0,Canada,2020-05-03 02:32:28,05-02-2020,147.0,386.0,1583.0,1050.0
60504.0,3795.0,24921.0,31788.0,Canada,2020-05-04 02:32:28,05-03-2020,111.0,1360.0,2578.0,1107.0
61957.0,4003.0,26030.0,31924.0,Canada,2020-05-05 02:32:34,05-04-2020,208.0,136.0,1453.0,1109.0
63215.0,4190.0,27006.0,32019.0,Canada,2020-05-06 02:32:31,05-05-2020,187.0,95.0,1258.0,976.0
64694.0,4366.0,28184.0,32144.0,Canada,2020-05-07 02:32:28,05-06-2020,176.0,125.0,1479.0,1178.0
66201.0,4541.0,29260.0,32400.0,Canada,2020-05-08 02:32:32,05-07-2020,175.0,256.0,1507.0,1076.0
67674.0,4697.0,30239.0,32738.0,Canada,2020-05-09 02:32:35,05-08-2020,156.0,338.0,1473.0,979.0
68918.0,4823.0,31262.0,32833.0,Canada,2020-05-10 02:32:30,05-09-2020,126.0,95.0,1244.0,1023.0
70091.0,4991.0,32109.0,32991.0,Canada,2020-05-11 02:32:30,05-10-2020,168.0,158.0,1173.0,847.0
71264.0,5115.0,33007.0,33142.0,Canada,2020-05-12 03:32:27,05-11-2020,124.0,151.0,1173.0,898.0
72419.0,5300.0,34055.0,33064.0,Canada,2020-05-13 03:32:26,05-12-2020,185.0,-78.0,1155.0,1048.0
73568.0,5425.0,35177.0,32966.0,Canada,2020-05-14 03:32:28,05-13-2020,125.0,-98.0,1149.0,1122.0
74781.0,5592.0,36104.0,33085.0,Canada,2020-05-15 02:33:02,05-14-2020,167.0,119.0,1213.0,927.0
75959.0,5679.0,36908.0,33372.0,Canada,2020-05-16 02:32:19,05-15-2020,87.0,287.0,1178.0,804.0
77206.0,5800.0,37832.0,33574.0,Canada,2020-05-17 02:32:32,05-16-2020,121.0,202.0,1247.0,924.0
78332.0,5903.0,38563.0,33866.0,Canada,2020-05-18 02:32:21,05-17-2020,103.0,292.0,1126.0,731.0
79411.0,5960.0,39251.0,34200.0,Canada,2020-05-19 02:32:18,05-18-2020,57.0,334.0,1079.0,688.0
80493.0,6028.0,40069.0,34396.0,Canada,2020-05-20 02:32:19,05-19-2020,68.0,196.0,1082.0,818.0
81575.0,6150.0,40793.0,34632.0,Canada,2020-05-21 02:32:48,05-20-2020,122.0,236.0,1082.0,724.0
82742.0,6267.0,41731.0,34744.0,Canada,2020-05-22 02:36:51,05-21-2020,117.0,112.0,1167.0,938.0
83947.0,6360.0,42608.0,34979.0,Canada,2020-05-23 02:32:42,05-22-2020,93.0,235.0,1205.0,877.0
85151.0,6466.0,43318.0,35367.0,Canada,2020-05-24 02:32:43,05-23-2020,106.0,388.0,1204.0,710.0
86106.0,6534.0,43998.0,35574.0,Canada,2020-05-25 02:32:44,05-24-2020,68.0,207.0,955.0,680.0
87119.0,6655.0,44651.0,35813.0,Canada,2020-05-26 02:32:35,05-25-2020,121.0,239.0,1013.0,653.0
88090.0,6753.0,45352.0,35985.0,Canada,2020-05-27 02:32:31,05-26-2020,98.0,172.0,971.0,701.0
88989.0,6876.0,46248.0,35865.0,Canada,2020-05-28 02:32:31,05-27-2020,123.0,-120.0,899.0,896.0
89976.0,6982.0,46961.0,36033.0,Canada,2020-05-29 02:32:50,05-28-2020,106.0,168.0,987.0,713.0
90909.0,7063.0,47905.0,35941.0,Canada,2020-05-30 02:32:48,05-29-2020,81.0,-92.0,933.0,944.0
91681.0,7159.0,48517.0,36005.0,Canada,2020-05-31 02:32:45,05-30-2020,96.0,64.0,772.0,612.0
92479.0,7374.0,49213.0,35892.0,Canada,2020-06-01 02:32:46,05-31-2020,215.0,-113.0,798.0,696.0
93288.0,7404.0,50091.0,35793.0,Canada,2020-06-02 02:33:08,06-01-2020,30.0,-99.0,809.0,878.0
93960.0,7477.0,50725.0,35758.0,Canada,2020-06-03 02:33:13,06-02-2020,73.0,-35.0,672.0,634.0
94641.0,7579.0,51506.0,35556.0,Canada,2020-06-04 02:33:14,06-03-2020,102.0,-202.0,681.0,781.0
95269.0,7717.0,52184.0,35368.0,Canada,2020-06-05 02:33:06,06-04-2020,138.0,-188.0,628.0,678.0
95947.0,7778.0,53074.0,35095.0,Canada,2020-06-06 02:33:00,06-05-2020,61.0,-273.0,678.0,890.0
96475.0,7850.0,54087.0,34538.0,Canada,2020-06-07 03:53:30,06-06-2020,72.0,-557.0,528.0,1013.0
97178.0,7877.0,54675.0,34626.0,Canada,2020-06-08 03:33:22,06-07-2020,27.0,88.0,703.0,588.0
97779.0,7910.0,55343.0,34526.0,Canada,2020-06-09 03:33:03,06-08-2020,33.0,-100.0,601.0,668.0
98241.0,7970.0,56117.0,34154.0,Canada,2020-06-10 04:07:00,06-09-2020,60.0,-372.0,462.0,774.0
98720.0,8038.0,57215.0,33467.0,Canada,2020-06-11 03:33:41,06-10-2020,68.0,-687.0,479.0,1098.0
99159.0,8071.0,58131.0,32957.0,Canada,2020-06-12 05:09:52,06-11-2020,33.0,-510.0,439.0,916.0
99595.0,8125.0,59034.0,32436.0,Canada,2020-06-13 03:33:14,06-12-2020,54.0,-521.0,436.0,903.0
100043.0,8183.0,59851.0,32009.0,Canada,2020-06-14 03:33:15,06-13-2020,58.0,-427.0,448.0,817.0
100404.0,8218.0,60668.0,31518.0,Canada,2020-06-15 03:33:14,06-14-2020,35.0,-491.0,361.0,817.0
100763.0,8228.0,61466.0,31069.0,Canada,2020-06-16 04:33:09,06-15-2020,10.0,-449.0,359.0,798.0
101087.0,8271.0,61899.0,30917.0,Canada,2020-06-17 04:33:21,06-16-2020,43.0,-152.0,324.0,433.0
101491.0,8312.0,63280.0,29899.0,Canada,2020-06-18 04:33:18,06-17-2020,41.0,-1018.0,404.0,1381.0
101877.0,8361.0,63782.0,29734.0,Canada,2020-06-19 04:33:17,06-18-2020,49.0,-165.0,386.0,502.0
102314.0,8408.0,64318.0,29588.0,Canada,2020-06-20 04:33:19,06-19-2020,47.0,-146.0,437.0,536.0
102762.0,8466.0,64826.0,29470.0,Canada,2020-06-21 04:33:19,06-20-2020,58.0,-118.0,448.0,508.0
103078.0,8482.0,65249.0,29347.0,Canada,2020-06-22 04:33:20,06-21-2020,16.0,-123.0,316.0,423.0
103418.0,8494.0,65721.0,29203.0,Canada,2020-06-23 04:33:22,06-22-2020,12.0,-144.0,340.0,472.0
103767.0,8512.0,66135.0,29120.0,Canada,2020-06-24 04:33:28,06-23-2020,18.0,-83.0,349.0,414.0
104087.0,8544.0,66533.0,29010.0,Canada,2020-06-25 05:26:54,06-24-2020,32.0,-110.0,320.0,398.0
104463.0,8567.0,66869.0,29027.0,Canada,2020-06-26 04:33:43,06-25-2020,23.0,17.0,376.0,336.0
104629.0,8571.0,67182.0,28876.0,Canada,2020-06-27 04:33:35,06-26-2020,4.0,-151.0,166.0,313.0
104878.0,8576.0,67445.0,28857.0,Canada,2020-06-28 04:34:04,06-27-2020,5.0,-19.0,249.0,263.0
105193.0,8582.0,67689.0,28922.0,Canada,2020-06-29 04:33:44,06-28-2020,6.0,65.0,315.0,244.0
105830.0,8628.0,68698.0,28504.0,Canada,2020-06-30 04:33:48,06-29-2020,46.0,-418.0,637.0,1009.0
106097.0,8650.0,69120.0,28327.0,Canada,2020-07-01 04:33:52,06-30-2020,22.0,-177.0,267.0,422.0
106288.0,8678.0,69397.0,28213.0,Canada,2020-07-02 04:33:46,07-01-2020,28.0,-114.0,191.0,277.0
106643.0,8700.0,69872.0,28071.0,Canada,2020-07-03 04:33:54,07-02-2020,22.0,-142.0,355.0,475.0
106962.0,8722.0,70232.0,28009.0,Canada,2020-07-04 04:33:51,07-03-2020,22.0,-62.0,319.0,360.0
107185.0,8732.0,70507.0,27947.0,Canada,2020-07-05 04:33:46,07-04-2020,10.0,-62.0,223.0,275.0
107394.0,8739.0,70772.0,27884.0,Canada,2020-07-06 04:33:57,07-05-2020,7.0,-63.0,209.0,265.0
107815.0,8748.0,71141.0,27927.0,Canada,2020-07-07 04:34:00,07-06-2020,9.0,43.0,421.0,369.0
108023.0,8765.0,71418.0,27841.0,Canada,2020-07-08 05:33:48,07-07-2020,17.0,-86.0,208.0,277.0
