Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
80932.0,3172.0,62901.0,0.0,China,2020-03-11T02:18:14,03-12-2020,11.0,0.0,11.0,1257.0
80945.0,3180.0,64196.0,0.0,China,2020-03-11T02:18:14,03-13-2020,8.0,0.0,13.0,1295.0
80977.0,3193.0,65660.0,0.0,China,2020-03-11T02:18:14,03-14-2020,13.0,0.0,32.0,1464.0
81003.0,3203.0,67017.0,0.0,China,2020-03-11T02:18:14,03-15-2020,10.0,0.0,26.0,1357.0
81033.0,3217.0,67910.0,0.0,China,2020-03-11T02:18:14,03-16-2020,14.0,0.0,30.0,893.0
81058.0,3230.0,68798.0,0.0,China,2020-03-11T02:18:14,03-17-2020,13.0,0.0,25.0,888.0
81102.0,3241.0,69755.0,0.0,China,2020-03-11T02:18:14,03-18-2020,11.0,0.0,44.0,957.0
81156.0,3249.0,70535.0,0.0,China,2020-03-11T02:18:14,03-19-2020,8.0,0.0,54.0,780.0
81250.0,3253.0,71266.0,0.0,China,2020-03-11T02:18:14,03-20-2020,4.0,0.0,94.0,731.0
81305.0,3259.0,71857.0,0.0,China,2020-03-11T02:18:14,03-21-2020,6.0,0.0,55.0,591.0
81397.0,3265.0,72362.0,5770.0,China,2/23/20 11:19,03-22-2020,6.0,5770.0,92.0,505.0
81496.0,3274.0,72819.0,5403.0,China,2020-03-23 01:08:15,03-23-2020,9.0,-367.0,99.0,457.0
81591.0,3281.0,73274.0,5036.0,China,2020-03-24 03:30:55,03-24-2020,7.0,-367.0,95.0,455.0
81661.0,3285.0,73767.0,4609.0,China,2020-03-25 06:43:02,03-25-2020,4.0,-427.0,70.0,493.0
81782.0,3291.0,74175.0,4316.0,China,2020-03-26 02:18:44,03-26-2020,6.0,-293.0,121.0,408.0
81897.0,3296.0,74714.0,3887.0,China,2020-03-27 02:35:02,03-27-2020,5.0,-429.0,115.0,539.0
81999.0,3299.0,75094.0,3606.0,China,3/28/20 2:01,03-28-2020,3.0,-281.0,102.0,380.0
82122.0,3304.0,75576.0,3242.0,China,3/29/20 2:22,03-29-2020,5.0,-364.0,123.0,482.0
82198.0,3308.0,75917.0,2973.0,China,3/30/20 1:32,03-30-2020,4.0,-269.0,76.0,341.0
82279.0,3309.0,76200.0,2770.0,China,2020-03-31 01:23:49,03-31-2020,1.0,-203.0,81.0,283.0
82361.0,3316.0,76399.0,2646.0,China,2020-03-31 01:23:49,04-01-2020,7.0,-124.0,82.0,199.0
82432.0,3322.0,76565.0,2545.0,China,4/2/20 1:20,04-02-2020,6.0,-101.0,71.0,166.0
82511.0,3326.0,76760.0,2425.0,China,2020-04-03 03:12:20,04-03-2020,4.0,-120.0,79.0,195.0
82543.0,3330.0,76946.0,2267.0,China,4/4/20 1:23,04-04-2020,4.0,-158.0,32.0,186.0
82602.0,3333.0,77207.0,2062.0,China,2020-04-05 02:18:55,04-05-2020,3.0,-205.0,59.0,261.0
82665.0,3335.0,77310.0,2020.0,China,4/6/20 2:17,04-06-2020,2.0,-42.0,63.0,103.0
82718.0,3335.0,77410.0,1973.0,China,2020-04-07 02:06:38,04-07-2020,0.0,-47.0,53.0,100.0
82809.0,3337.0,77567.0,1905.0,China,2020-04-08 02:01:44,04-08-2020,2.0,-68.0,91.0,157.0
