Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
1.0,0.0,0.0,0.0,Brazil,2020-02-26T23:53:02,02-27-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Brazil,2020-02-26T23:53:02,02-28-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Brazil,2020-02-29T21:03:05,02-29-2020,0.0,0.0,1.0,0.0
2.0,0.0,0.0,0.0,Brazil,2020-02-29T21:03:05,03-01-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Brazil,2020-02-29T21:03:05,03-02-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Brazil,2020-02-29T21:03:05,03-03-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,Brazil,2020-03-04T20:33:02,03-04-2020,0.0,0.0,2.0,0.0
4.0,0.0,0.0,0.0,Brazil,2020-03-04T20:33:02,03-05-2020,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,Brazil,2020-03-06T20:33:03,03-06-2020,0.0,0.0,9.0,0.0
13.0,0.0,0.0,0.0,Brazil,2020-03-06T20:33:03,03-07-2020,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,Brazil,2020-03-08T17:23:07,03-08-2020,0.0,0.0,7.0,0.0
25.0,0.0,0.0,0.0,Brazil,2020-03-09T10:13:06,03-09-2020,0.0,0.0,5.0,0.0
31.0,0.0,0.0,0.0,Brazil,2020-03-10T16:53:13,03-10-2020,0.0,0.0,6.0,0.0
38.0,0.0,0.0,0.0,Brazil,2020-03-11T22:13:12,03-11-2020,0.0,0.0,7.0,0.0
52.0,0.0,0.0,0.0,Brazil,2020-03-12T01:33:03,03-12-2020,0.0,0.0,14.0,0.0
151.0,0.0,0.0,0.0,Brazil,2020-03-11T20:00:00,03-13-2020,0.0,0.0,99.0,0.0
151.0,0.0,0.0,0.0,Brazil,2020-03-13T22:21:58,03-14-2020,0.0,0.0,0.0,0.0
162.0,0.0,0.0,0.0,Brazil,2020-03-15T18:20:18,03-15-2020,0.0,0.0,11.0,0.0
200.0,0.0,1.0,0.0,Brazil,2020-03-16T02:33:08,03-16-2020,0.0,0.0,38.0,1.0
321.0,1.0,2.0,0.0,Brazil,2020-03-17T15:33:06,03-17-2020,1.0,0.0,121.0,1.0
372.0,3.0,2.0,0.0,Brazil,2020-03-18T19:14:29,03-18-2020,2.0,0.0,51.0,0.0
621.0,6.0,2.0,0.0,Brazil,2020-03-19T20:43:02,03-19-2020,3.0,0.0,249.0,0.0
793.0,11.0,2.0,0.0,Brazil,2020-03-20T20:13:16,03-20-2020,5.0,0.0,172.0,0.0
1021.0,15.0,2.0,0.0,Brazil,2020-03-21T17:43:03,03-21-2020,4.0,0.0,228.0,0.0
1546.0,25.0,2.0,1519.0,Brazil,3/22/20 23:45,03-22-2020,10.0,1519.0,525.0,0.0
1924.0,34.0,2.0,1888.0,Brazil,2020-03-23 23:19:21,03-23-2020,9.0,369.0,378.0,0.0
2247.0,46.0,2.0,2199.0,Brazil,2020-03-24 23:37:15,03-24-2020,12.0,311.0,323.0,0.0
2554.0,59.0,2.0,2493.0,Brazil,2020-03-25 23:33:04,03-25-2020,13.0,294.0,307.0,0.0
2985.0,77.0,6.0,2902.0,Brazil,2020-03-26 23:48:18,03-26-2020,18.0,409.0,431.0,4.0
3417.0,92.0,6.0,3319.0,Brazil,2020-03-27 23:23:03,03-27-2020,15.0,417.0,432.0,0.0
3904.0,111.0,6.0,3787.0,Brazil,3/28/20 23:05,03-28-2020,19.0,468.0,487.0,0.0
4256.0,136.0,6.0,4114.0,Brazil,3/29/20 23:08,03-29-2020,25.0,327.0,352.0,0.0
4579.0,159.0,120.0,4300.0,Brazil,3/30/20 22:52,03-30-2020,23.0,186.0,323.0,114.0
5717.0,201.0,127.0,5389.0,Brazil,2020-03-31 23:43:43,03-31-2020,42.0,1089.0,1138.0,7.0
6836.0,240.0,127.0,6469.0,Brazil,2020-04-01 21:58:34,04-01-2020,39.0,1080.0,1119.0,0.0
8044.0,324.0,127.0,7593.0,Brazil,4/2/20 23:25,04-02-2020,84.0,1124.0,1208.0,0.0
9056.0,359.0,127.0,8570.0,Brazil,2020-04-03 22:46:20,04-03-2020,35.0,977.0,1012.0,0.0
10360.0,445.0,127.0,9788.0,Brazil,4/4/20 23:34,04-04-2020,86.0,1218.0,1304.0,0.0
11130.0,486.0,127.0,10517.0,Brazil,2020-04-05 23:06:26,04-05-2020,41.0,729.0,770.0,0.0
12161.0,564.0,127.0,11470.0,Brazil,4/6/20 23:21,04-06-2020,78.0,953.0,1031.0,0.0
14034.0,686.0,127.0,13221.0,Brazil,2020-04-07 23:04:29,04-07-2020,122.0,1751.0,1873.0,0.0
