Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
3.0,0.0,0.0,0.0,France,1/25/20 17:00,01-25-2020,0.0,0.0,1.0,0.0
3.0,0.0,0.0,0.0,France,1/26/20 16:00,01-26-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,France,1/27/20 23:59,01-27-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,France,1/28/20 23:00,01-28-2020,0.0,0.0,1.0,0.0
5.0,0.0,0.0,0.0,France,1/29/20 19:30,01-29-2020,0.0,0.0,1.0,0.0
5.0,0.0,0.0,0.0,France,1/30/20 16:00,01-30-2020,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,France,1/31/2020 23:59,01-31-2020,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,France,2/1/2020 1:52,02-01-2020,0.0,0.0,1.0,0.0
6.0,0.0,0.0,0.0,France,2020-02-01T01:52:40,02-02-2020,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,France,2020-02-01T01:52:40,02-03-2020,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,France,2020-02-01T01:52:40,02-04-2020,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,France,2020-02-01T01:52:40,02-05-2020,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,France,2020-02-01T01:52:40,02-06-2020,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,France,2020-02-01T01:52:40,02-07-2020,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,France,2020-02-08T09:53:01,02-08-2020,0.0,0.0,5.0,0.0
11.0,0.0,0.0,0.0,France,2020-02-08T09:53:01,02-09-2020,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,France,2020-02-08T09:53:01,02-10-2020,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,France,2020-02-08T09:53:01,02-11-2020,0.0,0.0,0.0,0.0
11.0,0.0,2.0,0.0,France,2020-02-12T18:53:02,02-12-2020,0.0,0.0,0.0,2.0
11.0,0.0,2.0,0.0,France,2020-02-12T18:53:02,02-13-2020,0.0,0.0,0.0,0.0
11.0,0.0,2.0,0.0,France,2020-02-12T18:53:02,02-14-2020,0.0,0.0,0.0,0.0
