Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
4.0,0.0,0.0,0.0,Germany,1/29/20 19:30,01-29-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,Germany,1/30/20 16:00,01-30-2020,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,Germany,1/31/2020 23:59,01-31-2020,0.0,0.0,1.0,0.0
8.0,0.0,0.0,0.0,Germany,2/1/2020 18:33,02-01-2020,0.0,0.0,3.0,0.0
10.0,0.0,0.0,0.0,Germany,2020-02-02T18:03:05,02-02-2020,0.0,0.0,2.0,0.0
12.0,0.0,0.0,0.0,Germany,2020-02-03T20:53:02,02-03-2020,0.0,0.0,2.0,0.0
12.0,0.0,0.0,0.0,Germany,2020-02-03T20:53:02,02-04-2020,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,Germany,2020-02-03T20:53:02,02-05-2020,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,Germany,2020-02-03T20:53:02,02-06-2020,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,Germany,2020-02-07T16:33:03,02-07-2020,0.0,0.0,1.0,0.0
13.0,0.0,0.0,0.0,Germany,2020-02-07T16:33:03,02-08-2020,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,Germany,2020-02-09T06:13:11,02-09-2020,0.0,0.0,1.0,0.0
14.0,0.0,0.0,0.0,Germany,2020-02-09T06:13:11,02-10-2020,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,Germany,2020-02-11T19:33:03,02-11-2020,0.0,0.0,2.0,0.0
16.0,0.0,0.0,0.0,Germany,2020-02-11T19:33:03,02-12-2020,0.0,0.0,0.0,0.0
16.0,0.0,1.0,0.0,Germany,2020-02-13T15:13:11,02-13-2020,0.0,0.0,0.0,1.0
16.0,0.0,1.0,0.0,Germany,2020-02-13T15:13:11,02-14-2020,0.0,0.0,0.0,0.0
16.0,0.0,1.0,0.0,Germany,2020-02-13T15:13:11,02-15-2020,0.0,0.0,0.0,0.0
16.0,0.0,1.0,0.0,Germany,2020-02-13T15:13:11,02-16-2020,0.0,0.0,0.0,0.0
16.0,0.0,1.0,0.0,Germany,2020-02-13T15:13:11,02-17-2020,0.0,0.0,0.0,0.0
16.0,0.0,12.0,0.0,Germany,2020-02-18T17:03:03,02-18-2020,0.0,0.0,0.0,11.0
16.0,0.0,12.0,0.0,Germany,2020-02-18T17:03:03,02-19-2020,0.0,0.0,0.0,0.0
16.0,0.0,12.0,0.0,Germany,2020-02-18T17:03:03,02-20-2020,0.0,0.0,0.0,0.0
16.0,0.0,14.0,0.0,Germany,2020-02-21T23:03:13,02-21-2020,0.0,0.0,0.0,2.0
16.0,0.0,14.0,0.0,Germany,2020-02-21T23:03:13,02-22-2020,0.0,0.0,0.0,0.0
16.0,0.0,14.0,0.0,Germany,2020-02-21T23:03:13,02-23-2020,0.0,0.0,0.0,0.0
16.0,0.0,14.0,0.0,Germany,2020-02-21T23:03:13,02-24-2020,0.0,0.0,0.0,0.0
17.0,0.0,14.0,0.0,Germany,2020-02-25T21:33:02,02-25-2020,0.0,0.0,1.0,0.0
27.0,0.0,15.0,0.0,Germany,2020-02-26T23:43:03,02-26-2020,0.0,0.0,10.0,1.0
46.0,0.0,16.0,0.0,Germany,2020-02-27T23:13:04,02-27-2020,0.0,0.0,19.0,1.0
48.0,0.0,16.0,0.0,Germany,2020-02-28T00:13:18,02-28-2020,0.0,0.0,2.0,0.0
79.0,0.0,16.0,0.0,Germany,2020-02-29T14:43:03,02-29-2020,0.0,0.0,31.0,0.0
130.0,0.0,16.0,0.0,Germany,2020-03-01T23:23:02,03-01-2020,0.0,0.0,51.0,0.0
159.0,0.0,16.0,0.0,Germany,2020-03-02T20:33:02,03-02-2020,0.0,0.0,29.0,0.0
196.0,0.0,16.0,0.0,Germany,2020-03-03T20:03:06,03-03-2020,0.0,0.0,37.0,0.0
262.0,0.0,16.0,0.0,Germany,2020-03-04T19:33:03,03-04-2020,0.0,0.0,66.0,0.0
482.0,0.0,16.0,0.0,Germany,2020-03-05T17:43:03,03-05-2020,0.0,0.0,220.0,0.0
670.0,0.0,17.0,0.0,Germany,2020-03-06T17:53:03,03-06-2020,0.0,0.0,188.0,1.0
799.0,0.0,18.0,0.0,Germany,2020-03-07T17:43:05,03-07-2020,0.0,0.0,129.0,1.0
1040.0,0.0,18.0,0.0,Germany,2020-03-08T21:03:03,03-08-2020,0.0,0.0,241.0,0.0
1176.0,2.0,18.0,0.0,Germany,2020-03-09T18:13:11,03-09-2020,2.0,0.0,136.0,0.0
1457.0,2.0,18.0,0.0,Germany,2020-03-10T18:53:02,03-10-2020,0.0,0.0,281.0,0.0
