Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
1.0,0.0,0.0,0.0,India,1/31/2020 23:59,01-31-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,India,1/31/2020 8:15,02-01-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,India,2020-02-02T06:03:08,02-02-2020,0.0,0.0,1.0,0.0
3.0,0.0,0.0,0.0,India,2020-02-03T21:43:02,02-03-2020,0.0,0.0,1.0,0.0
3.0,0.0,0.0,0.0,India,2020-02-03T21:43:02,02-04-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,India,2020-02-03T21:43:02,02-05-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,India,2020-02-03T21:43:02,02-06-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,India,2020-02-03T21:43:02,02-07-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,India,2020-02-03T21:43:02,02-08-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,India,2020-02-03T21:43:02,02-09-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,India,2020-02-03T21:43:02,02-10-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,India,2020-02-03T21:43:02,02-11-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,India,2020-02-03T21:43:02,02-12-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,India,2020-02-13T18:53:02,02-13-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,India,2020-02-13T18:53:02,02-14-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,India,2020-02-13T18:53:02,02-15-2020,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,02-16-2020,0.0,0.0,0.0,3.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,02-17-2020,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,02-18-2020,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,02-19-2020,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,02-20-2020,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,02-21-2020,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,02-22-2020,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,02-23-2020,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,02-24-2020,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,02-25-2020,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,02-26-2020,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,02-27-2020,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,02-28-2020,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,02-29-2020,0.0,0.0,0.0,0.0
3.0,0.0,3.0,0.0,India,2020-02-16T07:43:02,03-01-2020,0.0,0.0,0.0,0.0
5.0,0.0,3.0,0.0,India,2020-03-02T22:33:09,03-02-2020,0.0,0.0,2.0,0.0
5.0,0.0,3.0,0.0,India,2020-03-02T22:33:09,03-03-2020,0.0,0.0,0.0,0.0
28.0,0.0,3.0,0.0,India,2020-03-04T12:33:03,03-04-2020,0.0,0.0,23.0,0.0
30.0,0.0,3.0,0.0,India,2020-03-05T13:53:03,03-05-2020,0.0,0.0,2.0,0.0
31.0,0.0,3.0,0.0,India,2020-03-06T13:03:12,03-06-2020,0.0,0.0,1.0,0.0
34.0,0.0,3.0,0.0,India,2020-03-07T18:13:27,03-07-2020,0.0,0.0,3.0,0.0
39.0,0.0,3.0,0.0,India,2020-03-08T09:23:05,03-08-2020,0.0,0.0,5.0,0.0
43.0,0.0,3.0,0.0,India,2020-03-09T09:13:17,03-09-2020,0.0,0.0,4.0,0.0
