Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
2.0,0.0,0.0,0.0,Italy,1/31/2020 8:15,02-01-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Italy,2020-01-31T08:15:53,02-02-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Italy,2020-01-31T08:15:53,02-03-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Italy,2020-01-31T08:15:53,02-04-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Italy,2020-01-31T08:15:53,02-05-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Italy,2020-01-31T08:15:53,02-06-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,Italy,2020-02-07T17:53:02,02-07-2020,0.0,0.0,1.0,0.0
3.0,0.0,0.0,0.0,Italy,2020-02-07T17:53:02,02-08-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,Italy,2020-02-07T17:53:02,02-09-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,Italy,2020-02-07T17:53:02,02-10-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,Italy,2020-02-07T17:53:02,02-11-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,Italy,2020-02-07T17:53:02,02-12-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,Italy,2020-02-07T17:53:02,02-13-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,Italy,2020-02-07T17:53:02,02-14-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,Italy,2020-02-07T17:53:02,02-15-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,Italy,2020-02-07T17:53:02,02-16-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,Italy,2020-02-07T17:53:02,02-17-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,Italy,2020-02-07T17:53:02,02-18-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,Italy,2020-02-07T17:53:02,02-19-2020,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,Italy,2020-02-07T17:53:02,02-20-2020,0.0,0.0,0.0,0.0
20.0,1.0,0.0,0.0,Italy,2020-02-21T23:33:06,02-21-2020,1.0,0.0,17.0,0.0
62.0,2.0,1.0,0.0,Italy,2020-02-22T23:43:02,02-22-2020,1.0,0.0,42.0,1.0
155.0,3.0,2.0,0.0,Italy,2020-02-23T23:43:02,02-23-2020,1.0,0.0,93.0,1.0
229.0,7.0,1.0,0.0,Italy,2020-02-24T23:43:01,02-24-2020,4.0,0.0,74.0,-1.0
322.0,10.0,1.0,0.0,Italy,2020-02-25T18:55:32,02-25-2020,3.0,0.0,93.0,0.0
453.0,12.0,3.0,0.0,Italy,2020-02-26T23:43:03,02-26-2020,2.0,0.0,131.0,2.0
655.0,17.0,45.0,0.0,Italy,2020-02-27T23:23:02,02-27-2020,5.0,0.0,202.0,42.0
888.0,21.0,46.0,0.0,Italy,2020-02-28T20:13:09,02-28-2020,4.0,0.0,233.0,1.0
1128.0,29.0,46.0,0.0,Italy,2020-02-29T18:03:05,02-29-2020,8.0,0.0,240.0,0.0
1694.0,34.0,83.0,0.0,Italy,2020-03-01T23:23:02,03-01-2020,5.0,0.0,566.0,37.0
2036.0,52.0,149.0,0.0,Italy,2020-03-02T20:23:16,03-02-2020,18.0,0.0,342.0,66.0
2502.0,79.0,160.0,0.0,Italy,2020-03-03T20:03:06,03-03-2020,27.0,0.0,466.0,11.0
3089.0,107.0,276.0,0.0,Italy,2020-03-04T19:23:03,03-04-2020,28.0,0.0,587.0,116.0
3858.0,148.0,414.0,0.0,Italy,2020-03-05T17:43:03,03-05-2020,41.0,0.0,769.0,138.0
4636.0,197.0,523.0,0.0,Italy,2020-03-06T17:33:03,03-06-2020,49.0,0.0,778.0,109.0
5883.0,233.0,589.0,0.0,Italy,2020-03-07T17:33:03,03-07-2020,36.0,0.0,1247.0,66.0
7375.0,366.0,622.0,0.0,Italy,2020-03-08T18:03:04,03-08-2020,133.0,0.0,1492.0,33.0
9172.0,463.0,724.0,0.0,Italy,2020-03-09T18:13:11,03-09-2020,97.0,0.0,1797.0,102.0
10149.0,631.0,724.0,0.0,Italy,2020-03-10T17:53:02,03-10-2020,168.0,0.0,977.0,0.0
