Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
1.0,0.0,0.0,0.0,Netherlands,2020-02-28T01:23:03,02-28-2020,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,Netherlands,2020-02-29T18:03:05,02-29-2020,0.0,0.0,5.0,0.0
10.0,0.0,0.0,0.0,Netherlands,2020-03-01T15:33:03,03-01-2020,0.0,0.0,4.0,0.0
18.0,0.0,0.0,0.0,Netherlands,2020-03-02T20:53:02,03-02-2020,0.0,0.0,8.0,0.0
24.0,0.0,0.0,0.0,Netherlands,2020-03-03T15:13:26,03-03-2020,0.0,0.0,6.0,0.0
38.0,0.0,0.0,0.0,Netherlands,2020-03-04T12:33:03,03-04-2020,0.0,0.0,14.0,0.0
82.0,0.0,0.0,0.0,Netherlands,2020-03-05T14:23:03,03-05-2020,0.0,0.0,44.0,0.0
128.0,1.0,0.0,0.0,Netherlands,2020-03-06T13:23:06,03-06-2020,1.0,0.0,46.0,0.0
188.0,1.0,0.0,0.0,Netherlands,2020-03-07T17:43:05,03-07-2020,0.0,0.0,60.0,0.0
265.0,3.0,0.0,0.0,Netherlands,2020-03-08T13:43:02,03-08-2020,2.0,0.0,77.0,0.0
321.0,3.0,0.0,0.0,Netherlands,2020-03-09T18:13:11,03-09-2020,0.0,0.0,56.0,0.0
382.0,4.0,0.0,0.0,Netherlands,2020-03-10T13:53:06,03-10-2020,1.0,0.0,61.0,0.0
503.0,5.0,0.0,0.0,Netherlands,2020-03-11T14:13:11,03-11-2020,1.0,0.0,121.0,0.0
503.0,5.0,0.0,0.0,Netherlands,2020-03-11T14:13:11,03-12-2020,0.0,0.0,0.0,0.0
804.0,10.0,0.0,0.0,Netherlands,2020-03-11T20:00:00,03-13-2020,5.0,0.0,301.0,0.0
959.0,12.0,2.0,0.0,Netherlands,2020-03-14T22:13:11,03-14-2020,2.0,0.0,155.0,2.0
1135.0,20.0,2.0,0.0,Netherlands,2020-03-15T18:20:18,03-15-2020,8.0,0.0,176.0,0.0
1414.0,24.0,2.0,0.0,Netherlands,2020-03-16T00:22:11,03-16-2020,4.0,0.0,279.0,0.0
1708.0,43.0,2.0,0.0,Netherlands,2020-03-17T12:33:07,03-17-2020,19.0,0.0,294.0,0.0
2056.0,58.0,2.0,0.0,Netherlands,2020-03-18T00:53:02,03-18-2020,15.0,0.0,348.0,0.0
2465.0,77.0,2.0,0.0,Netherlands,2020-03-18T00:53:02,03-19-2020,19.0,0.0,409.0,0.0
3003.0,107.0,2.0,0.0,Netherlands,2020-03-20T21:13:30,03-20-2020,30.0,0.0,538.0,0.0
3640.0,137.0,2.0,0.0,Netherlands,2020-03-20T21:13:30,03-21-2020,30.0,0.0,637.0,0.0
4217.0,180.0,3.0,4034.0,Netherlands,3/22/20 23:45,03-22-2020,43.0,4034.0,577.0,1.0
4764.0,214.0,3.0,4547.0,Netherlands,2020-03-23 23:19:21,03-23-2020,34.0,513.0,547.0,0.0
5580.0,277.0,3.0,5300.0,Netherlands,2020-03-24 23:37:15,03-24-2020,63.0,753.0,816.0,0.0
6438.0,357.0,4.0,6077.0,Netherlands,2020-03-25 23:33:04,03-25-2020,80.0,777.0,858.0,1.0
7468.0,435.0,6.0,7027.0,Netherlands,2020-03-26 23:48:18,03-26-2020,78.0,950.0,1030.0,2.0
8647.0,547.0,6.0,8094.0,Netherlands,2020-03-27 23:23:03,03-27-2020,112.0,1067.0,1179.0,0.0
9819.0,640.0,6.0,9173.0,Netherlands,3/28/20 23:05,03-28-2020,93.0,1079.0,1172.0,0.0
10930.0,772.0,253.0,9905.0,Netherlands,3/29/20 23:08,03-29-2020,132.0,732.0,1111.0,247.0
11817.0,865.0,253.0,10699.0,Netherlands,3/30/20 22:52,03-30-2020,93.0,794.0,887.0,0.0
12667.0,1040.0,253.0,11374.0,Netherlands,2020-03-31 23:43:43,03-31-2020,175.0,675.0,850.0,0.0
13696.0,1175.0,260.0,12261.0,Netherlands,2020-04-01 21:58:34,04-01-2020,135.0,887.0,1029.0,7.0
14788.0,1341.0,260.0,13187.0,Netherlands,4/2/20 23:25,04-02-2020,166.0,926.0,1092.0,0.0
15821.0,1490.0,260.0,14071.0,Netherlands,2020-04-03 22:46:20,04-03-2020,149.0,884.0,1033.0,0.0
16727.0,1656.0,262.0,14809.0,Netherlands,4/4/20 23:34,04-04-2020,166.0,738.0,906.0,2.0
17953.0,1771.0,257.0,15925.0,Netherlands,2020-04-05 23:06:26,04-05-2020,115.0,1116.0,1226.0,-5.0
18926.0,1874.0,258.0,16794.0,Netherlands,4/6/20 23:21,04-06-2020,103.0,869.0,973.0,1.0
19709.0,2108.0,272.0,17329.0,Netherlands,2020-04-07 23:04:29,04-07-2020,234.0,535.0,783.0,14.0
20682.0,2255.0,272.0,18155.0,Netherlands,2020-04-08 22:51:39,04-08-2020,147.0,826.0,973.0,0.0
21903.0,2403.0,278.0,19222.0,Netherlands,2020-04-09 23:02:19,04-09-2020,148.0,1067.0,1221.0,6.0
23249.0,2520.0,287.0,20442.0,Netherlands,2020-04-10 22:53:48,04-10-2020,117.0,1220.0,1346.0,9.0
24571.0,2653.0,291.0,21627.0,Netherlands,2020-04-11 22:45:13,04-11-2020,133.0,1185.0,1322.0,4.0
25746.0,2747.0,295.0,22704.0,Netherlands,2020-04-12 23:17:00,04-12-2020,94.0,1077.0,1175.0,4.0
26710.0,2833.0,295.0,23582.0,Netherlands,2020-04-13 23:07:34,04-13-2020,86.0,878.0,964.0,0.0
27580.0,2955.0,297.0,24328.0,Netherlands,2020-04-14 23:33:12,04-14-2020,122.0,746.0,870.0,2.0
28316.0,3145.0,304.0,24867.0,Netherlands,2020-04-15 22:56:32,04-15-2020,190.0,539.0,736.0,7.0
