Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
1.0,0.0,0.0,0.0,Peru,2020-03-06T15:43:02,03-07-2020,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,Peru,2020-03-08T05:23:03,03-08-2020,0.0,0.0,5.0,0.0
7.0,0.0,0.0,0.0,Peru,2020-03-09T10:13:23,03-09-2020,0.0,0.0,1.0,0.0
11.0,0.0,0.0,0.0,Peru,2020-03-10T16:33:13,03-10-2020,0.0,0.0,4.0,0.0
11.0,0.0,0.0,0.0,Peru,2020-03-10T16:33:13,03-11-2020,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,Peru,2020-03-12T08:53:02,03-12-2020,0.0,0.0,4.0,0.0
28.0,0.0,0.0,0.0,Peru,2020-03-11T20:00:00,03-13-2020,0.0,0.0,13.0,0.0
38.0,0.0,0.0,0.0,Peru,2020-03-14T12:33:03,03-14-2020,0.0,0.0,10.0,0.0
43.0,0.0,0.0,0.0,Peru,2020-03-15T18:20:18,03-15-2020,0.0,0.0,5.0,0.0
86.0,0.0,0.0,0.0,Peru,2020-03-16T14:38:45,03-16-2020,0.0,0.0,43.0,0.0
117.0,0.0,1.0,0.0,Peru,2020-03-17T15:53:12,03-17-2020,0.0,0.0,31.0,1.0
145.0,0.0,1.0,0.0,Peru,2020-03-18T16:59:34,03-18-2020,0.0,0.0,28.0,0.0
234.0,0.0,1.0,0.0,Peru,2020-03-19T18:13:29,03-19-2020,0.0,0.0,89.0,0.0
234.0,3.0,1.0,0.0,Peru,2020-03-20T14:13:08,03-20-2020,3.0,0.0,0.0,0.0
318.0,5.0,1.0,0.0,Peru,2020-03-21T20:43:02,03-21-2020,2.0,0.0,84.0,0.0
363.0,5.0,1.0,357.0,Peru,3/22/20 23:45,03-22-2020,0.0,357.0,45.0,0.0
395.0,5.0,1.0,389.0,Peru,2020-03-23 23:19:21,03-23-2020,0.0,32.0,32.0,0.0
416.0,7.0,1.0,408.0,Peru,2020-03-24 23:37:15,03-24-2020,2.0,19.0,21.0,0.0
480.0,9.0,1.0,470.0,Peru,2020-03-25 23:33:04,03-25-2020,2.0,62.0,64.0,0.0
580.0,9.0,14.0,557.0,Peru,2020-03-26 23:48:18,03-26-2020,0.0,87.0,100.0,13.0
635.0,11.0,16.0,608.0,Peru,2020-03-27 23:23:03,03-27-2020,2.0,51.0,55.0,2.0
671.0,16.0,16.0,639.0,Peru,3/28/20 23:05,03-28-2020,5.0,31.0,36.0,0.0
852.0,18.0,16.0,818.0,Peru,3/29/20 23:08,03-29-2020,2.0,179.0,181.0,0.0
950.0,24.0,53.0,873.0,Peru,3/30/20 22:52,03-30-2020,6.0,55.0,98.0,37.0
1065.0,30.0,394.0,641.0,Peru,2020-03-31 23:43:43,03-31-2020,6.0,-232.0,115.0,341.0
1323.0,38.0,394.0,891.0,Peru,2020-04-01 21:58:34,04-01-2020,8.0,250.0,258.0,0.0
1414.0,55.0,537.0,822.0,Peru,4/2/20 23:25,04-02-2020,17.0,-69.0,91.0,143.0
1595.0,61.0,537.0,997.0,Peru,2020-04-03 22:46:20,04-03-2020,6.0,175.0,181.0,0.0
1746.0,73.0,914.0,759.0,Peru,4/4/20 23:34,04-04-2020,12.0,-238.0,151.0,377.0
2281.0,83.0,989.0,1209.0,Peru,2020-04-05 23:06:26,04-05-2020,10.0,450.0,535.0,75.0
2561.0,92.0,997.0,1472.0,Peru,4/6/20 23:21,04-06-2020,9.0,263.0,280.0,8.0
2954.0,107.0,1301.0,1546.0,Peru,2020-04-07 23:04:29,04-07-2020,15.0,74.0,393.0,304.0
4342.0,121.0,1333.0,2888.0,Peru,2020-04-08 22:51:39,04-08-2020,14.0,1342.0,1388.0,32.0
5256.0,138.0,1438.0,3680.0,Peru,2020-04-09 23:02:19,04-09-2020,17.0,792.0,914.0,105.0
5897.0,169.0,1569.0,4159.0,Peru,2020-04-10 22:53:48,04-10-2020,31.0,479.0,641.0,131.0
6848.0,181.0,1739.0,4928.0,Peru,2020-04-11 22:45:13,04-11-2020,12.0,769.0,951.0,170.0
7519.0,193.0,1798.0,5528.0,Peru,2020-04-12 23:17:00,04-12-2020,12.0,600.0,671.0,59.0
9784.0,216.0,2642.0,6926.0,Peru,2020-04-13 23:07:34,04-13-2020,23.0,1398.0,2265.0,844.0
10303.0,230.0,2869.0,7204.0,Peru,2020-04-14 23:33:12,04-14-2020,14.0,278.0,519.0,227.0
11475.0,254.0,3108.0,8113.0,Peru,2020-04-15 22:56:32,04-15-2020,24.0,909.0,1172.0,239.0
12491.0,274.0,6120.0,6097.0,Peru,2020-04-16 23:30:31,04-16-2020,20.0,-2016.0,1016.0,3012.0
13489.0,300.0,6541.0,6648.0,Peru,2020-04-17 23:30:32,04-17-2020,26.0,551.0,998.0,421.0
14420.0,348.0,6684.0,7388.0,Peru,2020-04-18 22:32:28,04-18-2020,48.0,740.0,931.0,143.0
15628.0,400.0,6811.0,8417.0,Peru,2020-04-19 23:40:41,04-19-2020,52.0,1029.0,1208.0,127.0
