Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
2.0,0.0,0.0,0.0,Russia,1/31/2020 16:13,02-01-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Russia,2020-01-31T16:13:45,02-02-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Russia,2020-01-31T16:13:45,02-03-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Russia,2020-01-31T16:13:45,02-04-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Russia,2020-01-31T16:13:45,02-05-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Russia,2020-01-31T16:13:45,02-06-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Russia,2020-01-31T16:13:45,02-07-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Russia,2020-01-31T16:13:45,02-08-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Russia,2020-01-31T16:13:45,02-09-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Russia,2020-01-31T16:13:45,02-10-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Russia,2020-01-31T16:13:45,02-11-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-12-2020,0.0,0.0,0.0,2.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-13-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-14-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-15-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-16-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-17-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-18-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-19-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-20-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-21-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-22-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-23-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-24-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-25-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-26-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-27-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-28-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,02-29-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Russia,2020-02-12T14:43:03,03-01-2020,0.0,0.0,0.0,0.0
3.0,0.0,2.0,0.0,Russia,2020-03-02T21:23:04,03-02-2020,0.0,0.0,1.0,0.0
3.0,0.0,2.0,0.0,Russia,2020-03-02T21:23:04,03-03-2020,0.0,0.0,0.0,0.0
3.0,0.0,2.0,0.0,Russia,2020-03-02T21:23:04,03-04-2020,0.0,0.0,0.0,0.0
4.0,0.0,2.0,0.0,Russia,2020-03-05T13:53:03,03-05-2020,0.0,0.0,1.0,0.0
13.0,0.0,2.0,0.0,Russia,2020-03-06T20:43:03,03-06-2020,0.0,0.0,9.0,0.0
13.0,0.0,2.0,0.0,Russia,2020-03-06T20:43:03,03-07-2020,0.0,0.0,0.0,0.0
17.0,0.0,3.0,0.0,Russia,2020-03-08T21:03:03,03-08-2020,0.0,0.0,4.0,1.0
17.0,0.0,3.0,0.0,Russia,2020-03-08T21:03:03,03-09-2020,0.0,0.0,0.0,0.0
20.0,0.0,3.0,0.0,Russia,2020-03-11T18:52:03,03-11-2020,0.0,0.0,3.0,0.0
28.0,0.0,3.0,0.0,Russia,2020-03-12T08:53:02,03-12-2020,0.0,0.0,8.0,0.0
45.0,0.0,3.0,0.0,Russia,2020-03-11T20:00:00,03-13-2020,0.0,0.0,17.0,0.0
59.0,0.0,8.0,0.0,Russia,2020-03-14T22:53:02,03-14-2020,0.0,0.0,14.0,5.0
63.0,0.0,8.0,0.0,Russia,2020-03-15T18:20:18,03-15-2020,0.0,0.0,4.0,0.0
90.0,0.0,8.0,0.0,Russia,2020-03-16T14:38:45,03-16-2020,0.0,0.0,27.0,0.0
114.0,0.0,8.0,0.0,Russia,2020-03-17T15:53:12,03-17-2020,0.0,0.0,24.0,0.0
147.0,0.0,8.0,0.0,Russia,2020-03-18T12:33:02,03-18-2020,0.0,0.0,33.0,0.0
199.0,1.0,9.0,0.0,Russia,2020-03-19T16:13:36,03-19-2020,1.0,0.0,52.0,1.0
253.0,1.0,9.0,0.0,Russia,2020-03-20T15:43:24,03-20-2020,0.0,0.0,54.0,0.0
306.0,1.0,12.0,0.0,Russia,2020-03-21T14:43:03,03-21-2020,0.0,0.0,53.0,3.0
367.0,1.0,16.0,350.0,Russia,3/22/20 23:45,03-22-2020,0.0,350.0,61.0,4.0
