Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-07 23:04:29,04-07-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-08 22:51:39,04-08-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-09 23:02:19,04-09-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-10 22:53:48,04-10-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-11 22:45:13,04-11-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-12 23:17:00,04-12-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-13 23:07:34,04-13-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-14 23:33:12,04-14-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-15 22:56:32,04-15-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-16 23:30:31,04-16-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-17 23:30:32,04-17-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-18 22:32:28,04-18-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-19 23:40:41,04-19-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-20 23:36:27,04-20-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-21 23:30:30,04-21-2020,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,Sao Tome and Principe,2020-04-22 23:30:32,04-22-2020,0.0,0.0,0.0,0.0
