Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
1.0,0.0,0.0,0.0,Spain,2020-02-01T23:43:02,02-02-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Spain,2020-02-01T23:43:02,02-03-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Spain,2020-02-01T23:43:02,02-04-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Spain,2020-02-01T23:43:02,02-05-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Spain,2020-02-01T23:43:02,02-06-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Spain,2020-02-01T23:43:02,02-07-2020,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,Spain,2020-02-01T23:43:02,02-08-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Spain,2020-02-09T20:33:03,02-09-2020,0.0,0.0,1.0,0.0
2.0,0.0,0.0,0.0,Spain,2020-02-09T20:33:03,02-10-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Spain,2020-02-09T20:33:03,02-11-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Spain,2020-02-09T20:33:03,02-12-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Spain,2020-02-09T20:33:03,02-13-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,Spain,2020-02-09T20:33:03,02-14-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Spain,2020-02-15T17:23:04,02-15-2020,0.0,0.0,0.0,2.0
2.0,0.0,2.0,0.0,Spain,2020-02-15T17:23:04,02-16-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Spain,2020-02-15T17:23:04,02-17-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Spain,2020-02-15T17:23:04,02-18-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Spain,2020-02-15T17:23:04,02-19-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Spain,2020-02-15T17:23:04,02-20-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Spain,2020-02-15T17:23:04,02-21-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Spain,2020-02-15T17:23:04,02-22-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Spain,2020-02-15T17:23:04,02-23-2020,0.0,0.0,0.0,0.0
2.0,0.0,2.0,0.0,Spain,2020-02-15T17:23:04,02-24-2020,0.0,0.0,0.0,0.0
6.0,0.0,2.0,0.0,Spain,2020-02-25T21:33:02,02-25-2020,0.0,0.0,4.0,0.0
13.0,0.0,2.0,0.0,Spain,2020-02-26T20:43:02,02-26-2020,0.0,0.0,7.0,0.0
15.0,0.0,2.0,0.0,Spain,2020-02-27T13:23:02,02-27-2020,0.0,0.0,2.0,0.0
32.0,0.0,2.0,0.0,Spain,2020-02-28T15:33:03,02-28-2020,0.0,0.0,17.0,0.0
45.0,0.0,2.0,0.0,Spain,2020-02-29T19:13:08,02-29-2020,0.0,0.0,13.0,0.0
84.0,0.0,2.0,0.0,Spain,2020-03-01T23:33:03,03-01-2020,0.0,0.0,39.0,0.0
120.0,0.0,2.0,0.0,Spain,2020-03-02T14:43:05,03-02-2020,0.0,0.0,36.0,0.0
165.0,1.0,2.0,0.0,Spain,2020-03-03T23:53:03,03-03-2020,1.0,0.0,45.0,0.0
222.0,2.0,2.0,0.0,Spain,2020-03-04T20:43:02,03-04-2020,1.0,0.0,57.0,0.0
259.0,3.0,2.0,0.0,Spain,2020-03-05T17:43:03,03-05-2020,1.0,0.0,37.0,0.0
400.0,5.0,2.0,0.0,Spain,2020-03-06T20:13:13,03-06-2020,2.0,0.0,141.0,0.0
500.0,10.0,30.0,0.0,Spain,2020-03-07T17:43:05,03-07-2020,5.0,0.0,100.0,28.0
673.0,17.0,30.0,0.0,Spain,2020-03-08T20:33:02,03-08-2020,7.0,0.0,173.0,0.0
1073.0,28.0,32.0,0.0,Spain,2020-03-09T18:13:11,03-09-2020,11.0,0.0,400.0,2.0
1695.0,35.0,32.0,0.0,Spain,2020-03-10T23:53:02,03-10-2020,7.0,0.0,622.0,0.0
2277.0,54.0,183.0,0.0,Spain,2020-03-11T20:53:02,03-11-2020,19.0,0.0,582.0,151.0
2277.0,55.0,183.0,0.0,Spain,2020-03-12T01:17:58,03-12-2020,1.0,0.0,0.0,0.0
5232.0,133.0,193.0,0.0,Spain,2020-03-11T20:00:00,03-13-2020,78.0,0.0,2955.0,10.0
6391.0,195.0,517.0,0.0,Spain,2020-03-14T22:13:11,03-14-2020,62.0,0.0,1159.0,324.0
7798.0,289.0,517.0,0.0,Spain,2020-03-15T18:20:18,03-15-2020,94.0,0.0,1407.0,0.0
9942.0,342.0,530.0,0.0,Spain,2020-03-16T20:13:11,03-16-2020,53.0,0.0,2144.0,13.0
11748.0,533.0,1028.0,0.0,Spain,2020-03-17T20:53:02,03-17-2020,191.0,0.0,1806.0,498.0
13910.0,623.0,1081.0,0.0,Spain,2020-03-18T13:13:13,03-18-2020,90.0,0.0,2162.0,53.0
17963.0,830.0,1107.0,0.0,Spain,2020-03-19T20:13:08,03-19-2020,207.0,0.0,4053.0,26.0
20410.0,1043.0,1588.0,0.0,Spain,2020-03-20T17:43:03,03-20-2020,213.0,0.0,2447.0,481.0
25374.0,1375.0,2125.0,0.0,Spain,2020-03-21T13:13:30,03-21-2020,332.0,0.0,4964.0,537.0
28603.0,1756.0,2125.0,24722.0,Spain,3/22/20 23:45,03-22-2020,381.0,24722.0,3229.0,0.0
35136.0,2311.0,3355.0,29470.0,Spain,2020-03-23 23:19:21,03-23-2020,555.0,4748.0,6533.0,1230.0
39885.0,2808.0,3794.0,33283.0,Spain,2020-03-24 23:37:15,03-24-2020,497.0,3813.0,4749.0,439.0
49515.0,3647.0,5367.0,40501.0,Spain,2020-03-25 23:33:04,03-25-2020,839.0,7218.0,9630.0,1573.0
57786.0,4365.0,7015.0,46406.0,Spain,2020-03-26 23:48:18,03-26-2020,718.0,5905.0,8271.0,1648.0
65719.0,5138.0,9357.0,51224.0,Spain,2020-03-27 23:23:03,03-27-2020,773.0,4818.0,7933.0,2342.0
73235.0,5982.0,12285.0,54968.0,Spain,3/28/20 23:05,03-28-2020,844.0,3744.0,7516.0,2928.0
80110.0,6803.0,14709.0,58598.0,Spain,3/29/20 23:08,03-29-2020,821.0,3630.0,6875.0,2424.0
87956.0,7716.0,16780.0,63460.0,Spain,3/30/20 22:52,03-30-2020,913.0,4862.0,7846.0,2071.0
95923.0,8464.0,19259.0,68200.0,Spain,2020-03-31 23:43:43,03-31-2020,748.0,4740.0,7967.0,2479.0
104118.0,9387.0,22647.0,72084.0,Spain,2020-04-01 21:58:34,04-01-2020,923.0,3884.0,8195.0,3388.0
112065.0,10348.0,26743.0,74974.0,Spain,4/2/20 23:25,04-02-2020,961.0,2890.0,7947.0,4096.0
119199.0,11198.0,30513.0,77488.0,Spain,2020-04-03 22:46:20,04-03-2020,850.0,2514.0,7134.0,3770.0
126168.0,11947.0,34219.0,80002.0,Spain,4/4/20 23:34,04-04-2020,749.0,2514.0,6969.0,3706.0
131646.0,12641.0,38080.0,80925.0,Spain,2020-04-05 23:06:26,04-05-2020,694.0,923.0,5478.0,3861.0
136675.0,13341.0,40437.0,82897.0,Spain,4/6/20 23:21,04-06-2020,700.0,1972.0,5029.0,2357.0
141942.0,14045.0,43208.0,84689.0,Spain,2020-04-07 23:04:29,04-07-2020,704.0,1792.0,5267.0,2771.0
148220.0,14792.0,48021.0,85407.0,Spain,2020-04-08 22:51:39,04-08-2020,747.0,718.0,6278.0,4813.0
153222.0,15447.0,52165.0,85610.0,Spain,2020-04-09 23:02:19,04-09-2020,655.0,203.0,5002.0,4144.0
158273.0,16081.0,55668.0,86524.0,Spain,2020-04-10 22:53:48,04-10-2020,634.0,914.0,5051.0,3503.0
163027.0,16606.0,59109.0,87312.0,Spain,2020-04-11 22:45:13,04-11-2020,525.0,788.0,4754.0,3441.0
166831.0,17209.0,62391.0,87231.0,Spain,2020-04-12 23:17:00,04-12-2020,603.0,-81.0,3804.0,3282.0
170099.0,17756.0,64727.0,87616.0,Spain,2020-04-13 23:07:34,04-13-2020,547.0,385.0,3268.0,2336.0
172541.0,18056.0,67504.0,86981.0,Spain,2020-04-14 23:33:12,04-14-2020,300.0,-635.0,2442.0,2777.0
177644.0,18708.0,70853.0,88083.0,Spain,2020-04-15 22:56:32,04-15-2020,652.0,1102.0,5103.0,3349.0
184948.0,19315.0,74797.0,90836.0,Spain,2020-04-16 23:30:31,04-16-2020,607.0,2753.0,7304.0,3944.0
190839.0,20002.0,74797.0,96040.0,Spain,2020-04-17 23:30:32,04-17-2020,687.0,5204.0,5891.0,0.0
191726.0,20043.0,74797.0,96886.0,Spain,2020-04-18 22:32:28,04-18-2020,41.0,846.0,887.0,0.0
198674.0,20453.0,77357.0,100864.0,Spain,2020-04-19 23:40:41,04-19-2020,410.0,3978.0,6948.0,2560.0
200210.0,20852.0,80587.0,98771.0,Spain,2020-04-20 23:36:27,04-20-2020,399.0,-2093.0,1536.0,3230.0
