Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
1.0,0.0,0.0,0.0,US,1/23/20 17:00,01-23-2020,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,US,1/24/20 17:00,01-24-2020,0.0,0.0,1.0,0.0
2.0,0.0,0.0,0.0,US,1/25/20 17:00,01-25-2020,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,US,1/26/20 16:00,01-26-2020,0.0,0.0,3.0,0.0
5.0,0.0,0.0,0.0,US,1/27/20 23:59,01-27-2020,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,US,1/28/20 23:00,01-28-2020,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,US,1/29/20 19:30,01-29-2020,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,US,1/30/20 16:00,01-30-2020,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,US,1/31/2020 23:59,01-31-2020,0.0,0.0,1.0,0.0
8.0,0.0,0.0,0.0,US,2/1/2020 19:43,02-01-2020,0.0,0.0,2.0,0.0
8.0,0.0,0.0,0.0,US,2020-02-01T19:43:03,02-02-2020,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,US,2020-02-01T19:43:03,02-03-2020,0.0,0.0,3.0,0.0
11.0,0.0,0.0,0.0,US,2020-02-01T19:43:03,02-04-2020,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,US,2020-02-01T19:43:03,02-05-2020,0.0,0.0,1.0,0.0
12.0,0.0,0.0,0.0,US,2020-02-01T19:43:03,02-06-2020,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,US,2020-02-01T19:43:03,02-07-2020,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,US,2020-02-01T19:43:03,02-08-2020,0.0,0.0,0.0,0.0
12.0,0.0,3.0,0.0,US,2020-02-01T19:43:03,02-09-2020,0.0,0.0,0.0,3.0
12.0,0.0,3.0,0.0,US,2020-02-01T19:43:03,02-10-2020,0.0,0.0,0.0,0.0
13.0,0.0,3.0,0.0,US,2020-02-01T19:43:03,02-11-2020,0.0,0.0,1.0,0.0
13.0,0.0,3.0,0.0,US,2020-02-01T19:43:03,02-12-2020,0.0,0.0,0.0,0.0
15.0,0.0,3.0,0.0,US,2020-02-01T19:43:03,02-13-2020,0.0,0.0,2.0,0.0
15.0,0.0,3.0,0.0,US,2020-02-01T19:43:03,02-14-2020,0.0,0.0,0.0,0.0
15.0,0.0,3.0,0.0,US,2020-02-01T19:43:03,02-15-2020,0.0,0.0,0.0,0.0
15.0,0.0,3.0,0.0,US,2020-02-01T19:43:03,02-16-2020,0.0,0.0,0.0,0.0
15.0,0.0,3.0,0.0,US,2020-02-01T19:43:03,02-17-2020,0.0,0.0,0.0,0.0
15.0,0.0,3.0,0.0,US,2020-02-01T19:43:03,02-18-2020,0.0,0.0,0.0,0.0
15.0,0.0,3.0,0.0,US,2020-02-01T19:43:03,02-19-2020,0.0,0.0,0.0,0.0
15.0,0.0,3.0,0.0,US,2020-02-01T19:43:03,02-20-2020,0.0,0.0,0.0,0.0
35.0,0.0,5.0,0.0,US,2020-02-01T19:43:03,02-21-2020,0.0,0.0,20.0,2.0
35.0,0.0,5.0,0.0,US,2020-02-01T19:43:03,02-22-2020,0.0,0.0,0.0,0.0
35.0,0.0,5.0,0.0,US,2020-02-01T19:43:03,02-23-2020,0.0,0.0,0.0,0.0
53.0,0.0,5.0,0.0,US,2020-02-24T23:33:02,02-24-2020,0.0,0.0,18.0,0.0
53.0,0.0,6.0,0.0,US,2020-02-24T23:33:02,02-25-2020,0.0,0.0,0.0,1.0
59.0,0.0,6.0,0.0,US,2020-02-24T23:33:02,02-26-2020,0.0,0.0,6.0,0.0
60.0,0.0,6.0,0.0,US,2020-02-24T23:33:02,02-27-2020,0.0,0.0,1.0,0.0
62.0,0.0,7.0,0.0,US,2020-02-24T23:33:02,02-28-2020,0.0,0.0,2.0,1.0
