Confirmed,Deaths,Recovered,Active,CountryRegion,LastUpdate,Date,DeathsVariation,ActiveVariation,ConfirmedVariation,RecoveredVariation
459.0,8.0,19.0,0.0,United Kingdom,2020-03-11T20:53:02,03-12-2020,0.0,0.0,0.0,0.0
801.0,8.0,19.0,0.0,United Kingdom,2020-03-11T20:00:00,03-13-2020,0.0,0.0,342.0,0.0
1143.0,21.0,19.0,0.0,United Kingdom,2020-03-14T16:33:03,03-14-2020,13.0,0.0,342.0,0.0
1144.0,21.0,19.0,0.0,United Kingdom,2020-03-14T16:33:03,03-15-2020,0.0,0.0,1.0,0.0
1551.0,56.0,21.0,0.0,United Kingdom,2020-03-14T16:33:03,03-16-2020,35.0,0.0,407.0,2.0
1960.0,56.0,53.0,0.0,United Kingdom,2020-03-16T14:53:04,03-17-2020,0.0,0.0,409.0,32.0
2642.0,72.0,67.0,0.0,United Kingdom,2020-03-18T11:53:04,03-18-2020,16.0,0.0,682.0,14.0
2716.0,138.0,67.0,0.0,United Kingdom,2020-03-18T11:53:04,03-19-2020,66.0,0.0,74.0,0.0
4014.0,178.0,67.0,0.0,United Kingdom,2020-03-18T11:53:04,03-20-2020,40.0,0.0,1298.0,0.0
5067.0,234.0,67.0,0.0,United Kingdom,2020-03-18T11:53:04,03-21-2020,56.0,0.0,1053.0,0.0
5741.0,282.0,95.0,5364.0,United Kingdom,3/22/20 23:45,03-22-2020,48.0,5364.0,674.0,28.0
6726.0,336.0,140.0,6250.0,United Kingdom,2020-03-23 23:19:21,03-23-2020,54.0,886.0,985.0,45.0
8164.0,423.0,140.0,7601.0,United Kingdom,2020-03-24 23:37:15,03-24-2020,87.0,1351.0,1438.0,0.0
9640.0,466.0,140.0,9034.0,United Kingdom,2020-03-25 23:33:04,03-25-2020,43.0,1433.0,1476.0,0.0
11812.0,580.0,150.0,11082.0,United Kingdom,2020-03-26 23:48:18,03-26-2020,114.0,2048.0,2172.0,10.0
14745.0,761.0,151.0,13833.0,United Kingdom,2020-03-27 23:23:03,03-27-2020,181.0,2751.0,2933.0,1.0
17312.0,1021.0,151.0,16140.0,United Kingdom,3/28/20 23:05,03-28-2020,260.0,2307.0,2567.0,0.0
19780.0,1231.0,151.0,18398.0,United Kingdom,3/29/20 23:08,03-29-2020,210.0,2258.0,2468.0,0.0
22453.0,1411.0,171.0,20871.0,United Kingdom,3/30/20 22:52,03-30-2020,180.0,2473.0,2673.0,20.0
25481.0,1793.0,179.0,23509.0,United Kingdom,2020-03-31 23:43:43,03-31-2020,382.0,2638.0,3028.0,8.0
29865.0,2357.0,179.0,27329.0,United Kingdom,2020-04-01 21:58:34,04-01-2020,564.0,3820.0,4384.0,0.0
34173.0,2926.0,192.0,31055.0,United Kingdom,4/2/20 23:25,04-02-2020,569.0,3726.0,4308.0,13.0
